Entity,State,Ownership,Customers (Count),Sales (Megawatthours),Revenues (Thousands Dollars),Average Price (cents/kWh)
Alaska Electric Light&Power Co,AK,Investor Owned,"13,912","142,255","16,970.0",11.93
Alaska Power and Telephone Co,AK,Investor Owned,"4,803","24,391","7,470.0",30.63
"Alaska Village Elec Coop, Inc",AK,Cooperative,"6,148","31,085","19,275.0",62.01
Anchorage Municipal Light and Power,AK,Municipal,"24,443","146,789","17,221.2",11.73
"Barrow Utils & Elec Coop, Inc",AK,Cooperative,"1,471","11,511","1,364.0",11.85
Bethel Utilities Corp,AK,Investor Owned,"1,671","10,677","5,990.0",56.10
Chugach Electric Assn Inc,AK,Cooperative,"69,495","549,748","76,083.0",13.84
City & Borough of Sitka - (AK),AK,Municipal,"3,669","47,899","4,570.0",9.54
City of Petersburg - (AK),AK,Municipal,"1,354","20,803","2,010.2",9.66
City of Seward - (AK),AK,Municipal,"2,064","16,488","3,344.0",20.28
City of Unalaska - (AK),AK,Municipal,686,"4,009","1,997.6",49.83
City of Wrangell - (AK),AK,Municipal,"1,170","15,273","1,604.0",10.50
"Copper Valley Elec Assn, Inc",AK,Cooperative,"2,983","17,517","5,264.1",30.05
"Cordova Electric Coop, Inc",AK,Cooperative,929,"4,998","2,107.0",42.16
Golden Valley Elec Assn Inc,AK,Cooperative,"38,011","301,535","73,023.3",24.22
Homer Electric Assn Inc,AK,Cooperative,"25,914","180,859","36,648.0",20.26
Ketchikan Public Utilities,AK,Municipal,"6,275","74,274","7,559.2",10.18
Kodiak Electric Assn Inc,AK,Cooperative,"4,696","35,273","6,536.0",18.53
Kotzebue Electric Assn Inc,AK,Cooperative,"1,130","7,887","3,446.0",43.69
Matanuska Electric Assn Inc,AK,Cooperative,"53,982","458,393","69,800.0",15.23
Nome Joint Utility Systems,AK,Municipal,"1,702","9,780","3,398.0",34.74
North Slope Borough Power & Light,AK,Municipal,659,"5,923","1,015.8",17.15
Alabama Power Co,AL,Investor Owned,"1,237,730","17,612,420","2,068,491.0",11.74
Albertville Municipal Utilities Board,AL,Municipal,"7,763","113,952","10,792.0",9.47
Arab Electric Coop Inc,AL,Cooperative,"12,367","186,289","19,670.0",10.56
Baldwin County El Member Corp,AL,Cooperative,"61,717","805,719","95,183.0",11.81
Black Warrior Elec Member Corp,AL,Cooperative,"21,714","270,532","28,902.0",10.68
Central Alabama Electric Coop,AL,Cooperative,"39,667","550,087","72,744.0",13.22
Cherokee Electric Coop,AL,Cooperative,"17,460","230,685","29,448.0",12.77
City of Alexander City,AL,Municipal,"4,715","53,503","5,636.0",10.53
City of Andalusia,AL,Municipal,"3,669","43,135","5,297.0",12.28
City of Athens - (AL),AL,Municipal,"35,689","579,686","55,391.0",9.56
City of Bessemer Utilities,AL,Municipal,"9,544","118,302","12,446.0",10.52
City of Courtland,AL,Municipal,619,"8,151",790.0,9.69
City of Dothan - (AL),AL,Municipal,"25,170","379,667","36,599.0",9.64
City of Fairhope - (AL),AL,Municipal,"5,454","70,318","8,300.1",11.80
City of Florence - (AL),AL,Municipal,"39,882","615,392","60,417.0",9.82
City of Hartselle,AL,Municipal,"4,324","63,567","6,055.0",9.53
City of Huntsville - (AL),AL,Municipal,"149,556","2,334,942","220,859.0",9.46
City of Muscle Shoals,AL,Municipal,"6,006","94,459","9,129.0",9.66
City of Opelika - (AL),AL,Municipal,"9,685","127,833","12,597.0",9.85
City of Russellville - (AL),AL,Municipal,"3,908","50,237","5,136.0",10.22
City of Scottsboro,AL,Municipal,"6,751","96,908","9,704.0",10.01
City of Tarrant,AL,Municipal,"2,178","28,715","2,979.0",10.37
City of Troy - (AL),AL,Municipal,"6,661","91,280","8,476.0",9.29
City of Tuscumbia,AL,Municipal,"3,825","53,170","5,409.0",10.17
City of Tuskegee,AL,Municipal,"6,202","63,208","7,733.0",12.23
Clarke-Washington E M C,AL,Cooperative,"18,509","214,251","27,165.0",12.68
Coosa Valley Electric Coop Inc,AL,Cooperative,"13,894","197,186","25,613.0",12.99
"Covington Electric Coop, Inc",AL,Cooperative,"21,261","285,448","41,720.0",14.62
